# SPDX-License-Identifier: GPL-3.0-or-later
# SPDX-FileCopyrightText: 2026 Hexproof contributors
# Generated by tools/forge-printings/generate.py; see printing-aliases.json.
# name	catalog set	catalog number	native set	native number
A Realm Reborn	PFIN	196s	FIN	196
A Tale for the Ages	PWOE	34p	WOE	34
A Tale for the Ages	PWOE	34s	WOE	34
AWOL	UNH	2★	UNH	2
Aang's Iceberg	PTLA	5s	TLA	5
Aang, Swift Savior // Aang and La, Ocean's Fury	PTLA	204s	TLA	204
Aang, at the Crossroads // Aang, Destined Savior	PTLA	203s	TLA	203
Aatchik, Emerald Radian	PDFT	187p	DFT	187
Aatchik, Emerald Radian	PDFT	187s	DFT	187
Abandoned Air Temple	PTLA	263s	TLA	263
Abandoned Sarcophagus	PHOU	158s	HOU	158
Abbey Gargoyles	PTC	bl1sb	5ED	1
Abbey Gargoyles	PTC	shr1sb	5ED	1
Abbot of Keral Keep	PORI	127s	ORI	127
Abduction	WC97	pm30	WTH	30
Aberrant	40K	86★	40K	86
Abeyance	OLEP	78	WTH	1
Abeyance	WC97	jk1	WTH	1
Abeyance	WC98	bh1sb	WTH	1
Abhorrent Oculus	PDSK	42p	DSK	42
Abhorrent Oculus	PDSK	42s	DSK	42
Abigale, Eloquent First-Year	PECL	204p	ECL	204
Absolute Law	WC00	nl2sba	USG	2
Absolute Virtue	PFIN	212s	FIN	212
Absorb	PRNA	151p	RNA	151
Absorb	PRNA	151s	RNA	151
Abstruse Appropriation	PMH3	177s	MH3	177
Abuelo's Awakening	PLCI	1p	LCI	1
Abuelo's Awakening	PLCI	1s	LCI	1
Abuelo, Ancestral Echo	PLCI	219p	LCI	219
Abuelo, Ancestral Echo	PLCI	219s	LCI	219
Abundance	40K	210★	40K	210
Abyssal Harvester	PFDN	54s	FDN	54
Abyssal Horror	7ED	115★	7ED	115
Abyssal Specter	7ED	116★	7ED	116
Abyssal Specter	8ED	117★	8ED	117
Abzan Ascendancy	PKTK	160s	KTK	160
Academic Probation	PSTX	7p	STX	7
Academic Probation	PSTX	7s	STX	7
Academy Loremaster	PDMU	40p	DMU	40
Academy Loremaster	PDMU	40s	DMU	40
Academy Rector	WC00	nl1	UDS	1
Acclaimed Contender	PELD	1p	ELD	1
